text,label,language,text_len,emo_label,pos,neg,neu,compound
 Buenos días 😉,1.6,Spanish,3,1,0.0,0.0,1.0,0.0
Ya no voy a salir gn,3.25,Spanish,6,1,0.297,0.297,0.405,0.0
me dormí con los pupilentes sufro,2.75,Spanish,6,1,0.0,0.0,1.0,0.0
llegué al fin 🙏🙏 me voy a dormir,2.25,Spanish,8,1,0.0,0.0,1.0,0.0
" sí, pero ojo amix no le digas nada por que ella es mala y edgy 😔😥",2.75,Spanish,16,2,0.0,0.136,0.864,-0.296
"🔔 Los Simpsons, los Minions: ¿Por qué son amarillos?... ",1.0,Spanish,9,1,0.0,0.0,1.0,0.0
mi niña no se cansa de dar la cara por esta familia,3.0,Spanish,12,2,0.0,0.167,0.833,-0.296
 Jajajajajajaja pero esos temas son interesantes me gusta la gastronomía y bueno PS que se puede decir del sexo,2.8,Spanish,19,1,0.0,0.0,1.0,0.0
  Yo también vi algo así. Tremendo.,1.6,Spanish,6,1,0.0,0.0,1.0,0.0
 Que lindoooo disfruta muchísimo,2.75,Spanish,4,1,0.0,0.0,1.0,0.0
Se te olvidó que tú y yo nos dimos un beso después de habernos despedido,4.2,Spanish,15,1,0.0,0.0,1.0,0.0
Quiero volver al momento en el que nos peleábamos porque PPK hizo una sesión de entrenamiento en Palacio. ,1.6,Spanish,18,1,0.0,0.0,1.0,0.0
 ¿estás bien nenita?,3.0,Spanish,3,1,0.0,0.0,1.0,0.0
diciembre ,1.0,Spanish,1,1,0.0,0.0,1.0,0.0
 Quiero 🤤,3.0,Spanish,2,1,0.0,0.0,1.0,0.0
" Totalmente. Igual, si algún día podés leer los libros, hacelo.",2.0,Spanish,10,1,0.0,0.0,1.0,0.0
Recordad que si los Señoros os ponen de estereotipo negativo de vuestro colectivo es que estáis haciéndoles pupa.,2.4,Spanish,18,1,0.0,0.0,1.0,0.0
" JAJAJAJA gracias anónimo, es de mis canciones favoritas🥺❤",2.0,Spanish,8,1,0.0,0.0,1.0,0.0
 hermoso cuerpo,4.2,Spanish,2,1,0.0,0.0,1.0,0.0
Hay gente que deja el micrófono abierto y parece que trabajaran al lado de una licuadora prendida.,2.2,Spanish,17,1,0.0,0.0,1.0,0.0
 Huevos,1.75,Spanish,1,1,0.0,0.0,1.0,0.0
 El tema es q los q están NO DEJANDO JUGAR son las autoridades chilenas ... o sea haciéndonos weones nosotros mismos,1.4,Spanish,21,2,0.0,0.147,0.853,-0.4466
 No lo creo el Pejendente tendrá otros datos,2.0,Spanish,8,2,0.0,0.239,0.761,-0.296
 que huevada hizo,1.2,Spanish,3,1,0.0,0.0,1.0,0.0
  Habría que charlar diría yo. Jeje,2.25,Spanish,6,1,0.0,0.0,1.0,0.0
 menudo,1.0,Spanish,1,1,0.0,0.0,1.0,0.0
" Si, fueron Jaguares... podrían confirmar el marcador?",1.2,Spanish,7,1,0.0,0.0,1.0,0.0
¿Porqué me gusta autohumillarme?,4.0,Spanish,4,1,0.0,0.0,1.0,0.0
 esq alamadre intimidan y ese pedo está bueno,3.0,Spanish,8,1,0.0,0.0,1.0,0.0
  Completamente de acuerdo .,1.6,Spanish,4,1,0.0,0.0,1.0,0.0
"  Claro, como con Piñera, el mal menor...",2.0,Spanish,7,1,0.0,0.0,1.0,0.0
si padre ya vimos que cayeron truenos cállate alv,2.6,Spanish,9,1,0.0,0.0,1.0,0.0
Soy un pedazo de mujer y nadie me va a hacer sentir lo contrario,3.25,Spanish,14,1,0.0,0.0,1.0,0.0
"  No vos, no tiene nada de nada de azúcares ni nada es una total farsa...🙄",1.25,Spanish,15,2,0.0,0.253,0.747,-0.5267
 Me cago en los petardos 🧨 de la madre que lo pario a él y todos los hp que estaban allí jodiendo el parto 🚨🚨🚨,4.25,Spanish,25,1,0.0,0.0,1.0,0.0
" Equipos grandes a nivel nacional, fuera todos somos chicos, y hay que trabajar para crecer afuera.",1.0,Spanish,16,1,0.0,0.0,1.0,0.0
" Casualidad yo pensando: ""Coño el Capitán no me felicitó"" y Zas!! Vi el Mensaje! 🤣✊🏼🇻🇪 ¡NOSOTROS 🇻🇪 VENCEREMOS!",1.2,Spanish,18,2,0.0,0.174,0.826,-0.5216
"Se esfumo como humo en el aire, y se fue de mi corazón como si no fuera nadie💔....",3.4,Spanish,18,2,0.0,0.121,0.879,-0.296
 Es cojonuda y me jodió mucho en su día que no hiciesen la 3,3.0,Spanish,14,2,0.0,0.167,0.833,-0.296
"Eriksen, a sus compañeros: “Creo que están peor que yo” ",1.4,Spanish,10,1,0.0,0.0,1.0,0.0
Vivimos en un mundo tan dañado que cuando llega una persona demostrando cosas buenas creemos que no lo merecemos,2.8,Spanish,19,2,0.0,0.109,0.891,-0.296
 no sé estamos hablando pero todavía no,2.4,Spanish,7,2,0.0,0.468,0.532,-0.5267
  Yo te quiero más ❤️,3.5,Spanish,5,1,0.0,0.0,1.0,0.0
Los jugadores que recuperaría Tigres para el partido de repechaje ante Atlas  ,1.0,Spanish,12,1,0.0,0.0,1.0,0.0
 Ke mire para arriba por si le cae una maceta o algo. Es broma compi. Todo va a salir de lujo y vais a trabajar mucho y bien.,3.6,Spanish,28,1,0.0,0.0,1.0,0.0
Alguien que se quiera juntar conmigo? Masolo estoy :(,3.2,Spanish,9,2,0.0,0.266,0.734,-0.4404
Zidane cada vez que hoy ataque el Huesca. ,1.0,Spanish,8,1,0.0,0.0,1.0,0.0
Voto por Enrique Iglesias en #Gira 9 en los #LatinAMAs 2022,1.4,Spanish,11,1,0.0,0.0,1.0,0.0
 Pero es que además fíjate. ,1.5,Spanish,5,1,0.0,0.0,1.0,0.0
Paren todo ¿Alguien escucho el poema de la señorita bustier en efímero??,2.0,Spanish,12,1,0.0,0.0,1.0,0.0
  Increíble Polombia y BOBOMBIA en todo su esplendor para el mundo entero,1.25,Spanish,12,1,0.0,0.0,1.0,0.0
A por la 14 carajo!!!!,1.0,Spanish,5,1,0.0,0.0,1.0,0.0
Hoy fui ala escuela no entendo nada ingles picki inglich out escuela en cualquier momento abandono,3.0,Spanish,16,2,0.0,0.128,0.872,-0.296
 No lo sabes tú bien.....,2.0,Spanish,5,2,0.0,0.355,0.645,-0.296
 Ni la O con un canuto xD,1.25,Spanish,7,0,0.432,0.0,0.568,0.5859
"Día 1 de la dieta: habian 7 chocolates en la nevera, solo me comí 1. Anotación: dejar el dulce no es tan fácil",2.4,Spanish,23,2,0.0,0.099,0.901,-0.296
Espiina me ha hecho madrugar para ir a comprar churros. Empieza bien el año😴😴😴 Vosotros que tal?,1.8,Spanish,17,0,0.138,0.0,0.862,0.34
Cuatro horas de catarsis: el día que las víctimas 'okuparon' la Conferencia Episcopal  a través de ,1.0,Spanish,16,1,0.0,0.0,1.0,0.0
"Amor eterno a l amig que están en las buenas, en las malas, con las que podemos echar chisme pero también hablar de lo que nos duele.💘",3.8,Spanish,27,0,0.143,0.0,0.857,0.6124
sufro sin razón,2.0,Spanish,3,2,0.0,0.643,0.357,-0.5574
 la falda se te ve mejor 🤤🔥❤️😋,3.8,Spanish,7,1,0.0,0.0,1.0,0.0
 Bienvenido a Bordo!!,1.25,Spanish,3,1,0.0,0.0,1.0,0.0
"Buenos días, hoy conduce el mejor piloto de la historia de este deporte. ",1.2,Spanish,13,1,0.0,0.0,1.0,0.0
🍏 “Duda de todo. Encuentra tu propia luz.” - Buda,1.2,Spanish,10,1,0.0,0.0,1.0,0.0
Más de mí ex compañero ,2.8,Spanish,5,1,0.0,0.0,1.0,0.0
  Jeje qué concho mae. Pero es cierto,3.2,Spanish,7,1,0.0,0.0,1.0,0.0
 Oleeee felicidades ❤❤ yo tengo el miércoles que viene el práctico 😬,3.2,Spanish,12,1,0.0,0.0,1.0,0.0
"Not me diciéndole “Quique” al Ingeniero que todos llaman “Henry”, jajaja 🤌🏼",2.5,Spanish,12,1,0.0,0.0,1.0,0.0
Siii mis bebés ya están bien 😭😭  ,1.4,Spanish,7,1,0.0,0.0,1.0,0.0
y la que me gusta está arrunchada o tambiem chupando frío? );,3.8,Spanish,12,1,0.0,0.0,1.0,0.0
" Las cosas Nórdicas, ensambladas en Tierra del Fuego,pero chipeadas por la Cámpora quedan como el ort ",1.0,Spanish,16,1,0.0,0.0,1.0,0.0
"extraño al de antes, tú, pero el de antes",3.8,Spanish,9,1,0.0,0.0,1.0,0.0
 Eso cabron que bueno!! Solo cambia tu foto de perfil q parece que traes playera de chivas jajajaja,2.2,Spanish,18,1,0.0,0.0,1.0,0.0
Buenos días 🌻😗 así amanecí hoy ☺️☺️ recuerden tengo mucho contenido en venta 😏 ,3.4,Spanish,14,1,0.0,0.0,1.0,0.0
Siempre que insisto me sale mal así que basta,2.8,Spanish,9,1,0.0,0.0,1.0,0.0
HILO CANAL FIESTA CRISTIna 💓 Voto por  para el #N1CanalFiesta9 con #SiNoTeVuelvoAver   35,1.0,Spanish,13,0,0.258,0.0,0.742,0.5904
 Igualmente feliz año nuevo pana ,3.5,Spanish,5,1,0.0,0.0,1.0,0.0
esta para que mi novio se la juegue cn los chambuchitos de migaaa,3.333333333333333,Spanish,13,1,0.0,0.0,1.0,0.0
   No es q le pida perdón a maduro progresivo q do como un culo,1.0,Spanish,14,2,0.0,0.18,0.82,-0.296
🙇‍♂️ 3 enfermedades que quizás hemos olvidado gracias a las vacunas ,1.2,Spanish,11,1,0.0,0.0,1.0,0.0
Oigan habrá una posibilidad de ver a louis pero que no sea en el aeropuerto o en su hotel??,2.0,Spanish,19,2,0.0,0.138,0.862,-0.3736
  Yo Vi un momento antes del partido en dónde se ve al entrenador de Uruguay estrechando su mano con el árbitro 👀,1.2,Spanish,22,1,0.0,0.0,1.0,0.0
" Muchas, muchas graciaaas, te quiero 🥺💕",4.2,Spanish,6,1,0.0,0.0,1.0,0.0
Sígueme y te sigo bebe 🔥 🔥 👥,2.4,Spanish,8,1,0.0,0.0,1.0,0.0
Exijo mucho porque soy capaz de dar el doble.,3.0,Spanish,9,1,0.0,0.0,1.0,0.0
" Oye me interesa tu pefil, manda DM ya que yo no puedo mandarte, para llegar a un acuerdo",2.8,Spanish,18,2,0.0,0.121,0.879,-0.296
"Zavala jugadorazo pero se nota que está falto de confianza y como no, si un muerto con más rojas que goles y asistencias juega más que tu",1.4,Spanish,27,2,0.0,0.084,0.916,-0.296
"""Levítico 8:6 Moisés mandó entonces que Aarón y sus hijos se acercaran y los lavó con agua. ""#Biblia ",1.0,Spanish,18,1,0.0,0.0,1.0,0.0
 es del jewel👀,1.8,Spanish,3,1,0.0,0.0,1.0,0.0
"   Escucha bien, la declaración dice para complacer un gobierno, quieres más",1.2,Spanish,11,1,0.0,0.0,1.0,0.0
Y yo q ya me estaba alistando para ir 🤦🏻‍♂️ Ven porque uno a veces duda 🤦🏻‍♂️🤡,2.4,Spanish,17,1,0.0,0.0,1.0,0.0
por favor muevan el culo necesitamos más,2.4,Spanish,7,0,0.31,0.0,0.69,0.4019
 Yo ya iba a dormir JAJAJJA me quedaré esperando un rato si es que no me duermo 🛌,1.4,Spanish,18,2,0.0,0.128,0.872,-0.296
 Tamos en contacto babyyyyy ya sabes graciasss,2.8,Spanish,7,1,0.0,0.0,1.0,0.0
   Y la otra que hizo aparte de apoyar y promover terapias de conversión,1.2,Spanish,13,1,0.0,0.0,1.0,0.0
" Desde luego los jóvenes, en 3-4 años han mutado... y o digo con conocimiento de causa. Ni estudian ni quieren trabajar.",1.5,Spanish,21,1,0.0,0.0,1.0,0.0
 ¡ Que cosas !,1.2,Spanish,4,1,0.0,0.0,1.0,0.0
 a ver si se van a tomar por culo el madrid,1.8,Spanish,11,1,0.0,0.0,1.0,0.0
"Empezamos el año por todo lo alto, y es que estamos imparables. ¡Vamos a ello! 👏👏 ",1.8,Spanish,16,1,0.0,0.0,1.0,0.0
 Y porque culpas a AMLO de que tú mierda cerebral?,2.25,Spanish,10,1,0.0,0.0,1.0,0.0
    Graaaacias por el premio de la semana pasada! Aguante ustedes y Carlos Verdini ✌💪,1.75,Spanish,14,1,0.0,0.0,1.0,0.0
Estaba pensando en escribirle casi lo mismo del año pasado pero recordé que se me olvidó 😃🔫,3.0,Spanish,17,1,0.0,0.0,1.0,0.0
Pues cojo el segundo examen ee la mañana con mi crush (es una reposición) #NotLuckyButBlessed,2.2,Spanish,15,2,0.0,0.103,0.897,-0.1531
eso no decía mi horoscopo,2.4,Spanish,5,2,0.0,0.355,0.645,-0.296
"Este domingo,    y  en Biblioteca iP. A las 17, por  ",1.5,Spanish,10,1,0.0,0.0,1.0,0.0
#4Ene | Simonovis: Haré mi mejor esfuerzo para que el destino de Luisa Ortega Díaz sea de persecución y cárcel 🇻🇪 ,1.8,Spanish,21,1,0.0,0.0,1.0,0.0
91 años de ejemplo y de Victorias #RaulEsRaul #RaulPorSiempre  ,1.2,Spanish,9,1,0.0,0.0,1.0,0.0
 Oroz: Con chacamacfut me hice la casa,1.6666666666666667,Spanish,7,1,0.0,0.0,1.0,0.0
 y que están 2-1 abajo.☺,1.0,Spanish,5,1,0.0,0.0,1.0,0.0
#EDLP El puntero del Grupo C va a entrenar este miércoles a las 10.00 en CB.,1.75,Spanish,16,1,0.0,0.0,1.0,0.0
 Queres saber como termina el manga?,2.0,Spanish,6,1,0.0,0.0,1.0,0.0
A dónde se va cuando los brazos que se fueron son los únicos por los que querías ser abrazado?,3.75,Spanish,19,1,0.0,0.0,1.0,0.0
"Detalles de la 4a fecha en las categorías mayores (Divisionales A y B), sub-19 y sub-16.  ",1.0,Spanish,16,1,0.0,0.0,1.0,0.0
 Un bombón riquísimo,3.2,Spanish,3,1,0.0,0.0,1.0,0.0
Excelente Italia solidarizándose con la clase obrera e inmigrantes de Qatar diciendo NO al Mundial.,1.75,Spanish,15,2,0.0,0.184,0.816,-0.4466
 Vamos jorge así con animo 💪,1.8,Spanish,6,1,0.0,0.0,1.0,0.0
 Calla delincuente,1.2,Spanish,2,1,0.0,0.0,1.0,0.0
"Saludos para tod feliz 2022,qué éste nuevo año sea de reflexión.",2.25,Spanish,11,1,0.0,0.0,1.0,0.0
Hoy amanecimos con toda las buenas vibras a vender mi ropa.😎,1.25,Spanish,11,1,0.0,0.0,1.0,0.0
" es el más feo de los tres, el de chocolate gana",2.6,Spanish,11,1,0.0,0.0,1.0,0.0
no soy capaz de escribirle a nadie estando borracha sjsjjssj,3.0,Spanish,10,2,0.0,0.216,0.784,-0.296
 Gm igualmente,1.5,Spanish,2,1,0.0,0.0,1.0,0.0
Vendo mi alma por el concierto de DY pero voy de todas formas,3.0,Spanish,13,1,0.0,0.0,1.0,0.0
 ahora*,1.0,Spanish,1,1,0.0,0.0,1.0,0.0
"Díganle a mi ex q no sea rata, q me devuelva mi celular y mi pasaporte:/",4.6,Spanish,16,2,0.0,0.167,0.833,-0.296
 Otras dos editoriales con monólogos de humoristas. Se están pasando.,1.2,Spanish,10,1,0.0,0.0,1.0,0.0
Que las cosas se sientan diferentes y de otra manera es todo lo q esta bien :),3.4,Spanish,17,0,0.176,0.0,0.824,0.4588
 No compita con nadie …,1.4,Spanish,5,2,0.0,0.423,0.577,-0.296
"wn yo dándole fav los tuits a alguien como tonta pero me dio unf, F",3.2,Spanish,15,0,0.2,0.0,0.8,0.4588
Estos son los 10 podcast más escuchados de Spotify Uruguay este día ,1.0,Spanish,12,1,0.0,0.0,1.0,0.0
"Como vas a poner la excusa de las lesiones y el doping para irte, si fue el club quien te banco más",2.5,Spanish,22,1,0.0,0.0,1.0,0.0
Aquí estuvieras quitandome el sueño pero te freseas 🥵 ,4.2,Spanish,9,1,0.0,0.0,1.0,0.0
 suena más tentador que me atropellen,2.75,Spanish,6,1,0.0,0.0,1.0,0.0
" vamos a ulises, un baile como la gente",2.0,Spanish,8,1,0.0,0.0,1.0,0.0
 Muchas gracias bebe te quiero muchísimo ✨🥰,4.0,Spanish,7,1,0.0,0.0,1.0,0.0
El Manchester City perdiendo tiempo en el Metropolitano. Gracias Diego Pablo Simeone. Gracias Atleti.,1.0,Spanish,14,1,0.0,0.0,1.0,0.0
   eso mucha respuesta y poco tuit,1.6,Spanish,6,1,0.0,0.0,1.0,0.0
 Calle y deme un poco de su don para centrarse en una sola historia XD,2.2,Spanish,15,0,0.259,0.0,0.741,0.6739
Es que me sentí como si tuviera expectativas puestas en mi de que le diera nietos. Y NO VA A PASAR. No pienso convertirme en una criadora.,4.6,Spanish,27,2,0.0,0.182,0.818,-0.6289
 te amo tienes toda la razón del mundo,3.6,Spanish,8,1,0.0,0.0,1.0,0.0
" Prostitución, pornografía y fuegos artificiales, he leído por ahí.",1.75,Spanish,9,1,0.0,0.0,1.0,0.0
En la biblia lo decía “NACIÓN CONTRA NACIÓN” terrible lo que está pasando 💔,1.4,Spanish,14,2,0.0,0.205,0.795,-0.4767
"  Con la presencia del APRA, esa marcha ya no tiene legitimidad, peor si pagan 😑😑😑",1.2,Spanish,15,2,0.0,0.136,0.864,-0.296
 Qué mujer hermosa que sos Viviana. Por como sos y por como pensás. Saludos y cariño desde Uruguay,3.0,Spanish,18,1,0.0,0.0,1.0,0.0
"No me hace falta llenar vacíos con gente, yo sé estar sola.",2.6,Spanish,12,2,0.0,0.167,0.833,-0.296
  A ver si vuelve 🙄🙄,2.8,Spanish,5,1,0.0,0.0,1.0,0.0
 No es culpa mía que no maneje los esfínteres jajaja.,2.6,Spanish,10,2,0.0,0.355,0.645,-0.5267
Desde el año pasado que no como ☹️,3.0,Spanish,8,2,0.0,0.239,0.761,-0.296
"    Les compré una sola vez, con la experiencia fue suficiente.",2.4,Spanish,10,1,0.0,0.0,1.0,0.0
 es normal que la gente no educada estrictamente en ese ambito se comunique con estilistas,1.4,Spanish,15,2,0.0,0.136,0.864,-0.296
"Ignoro por que cayó Spotify, pero sí sé por qué cayó Discord: Lo tiré yo harto de que le funcionase a todo el mundo de maravilla menos a mí.",1.0,Spanish,29,2,0.0,0.094,0.906,-0.4019
 Muchos a Truth y él lo sabe. ,1.75,Spanish,7,0,0.365,0.0,0.635,0.3182
"  Jooooder,llevo tiempo pensando en pillar una, pero viendo esto y a otra gente que le ha pasado paso🤣",3.4,Spanish,18,0,0.138,0.0,0.862,0.34
nadie: un reventao a las 7 de la mañana: ,2.0,Spanish,9,1,0.0,0.0,1.0,0.0
  Aquí te espero 😚,3.8,Spanish,4,1,0.0,0.0,1.0,0.0
  sabes q piensolo mismo q vos con 16 años pueden ir a votar pero si hacen un delito no van presos,1.6,Spanish,21,2,0.0,0.115,0.885,-0.296
 Feliz Cumpleaños 🎂 Y que sean muchos más,2.8,Spanish,8,1,0.0,0.0,1.0,0.0
Todo era más fácil cuando fingía q quería ser deportista,1.8,Spanish,10,1,0.0,0.0,1.0,0.0
Y vaya que tengo muchos... 🍃🖖,2.0,Spanish,6,1,0.0,0.0,1.0,0.0
 ole oleee un día de estos jugamos y le hacemos fotos a tu shogun con mi yae 👩‍❤️‍💋‍👩,3.4,Spanish,18,1,0.0,0.0,1.0,0.0
Hoy,1.0,Spanish,1,1,0.0,0.0,1.0,0.0
Se me parte la cabeza diosss,1.8,Spanish,6,1,0.0,0.0,1.0,0.0
 Con estos números Tinelli no vuelve ni en agosto 😬,1.25,Spanish,10,2,0.0,0.216,0.784,-0.296
 Llevame con vos mejorr🥺,2.6,Spanish,4,1,0.0,0.0,1.0,0.0
Si no regreso en una hora me morí,3.0,Spanish,8,2,0.0,0.239,0.761,-0.296
"  no irónicamente les harías un favor poniendo un c4 en ese ""estadio""",1.4,Spanish,12,0,0.181,0.148,0.671,0.128
 Me juego un huevo y no lo pierdo a que es podemita.,1.5,Spanish,12,2,0.0,0.196,0.804,-0.296
"Me dijiste que me darías una de las mejores cogidas de mi vida! Déjame decirte que no fue de las mejores, fue LA MEJOR!! 🔥🔥🔥",5.0,Spanish,25,2,0.0,0.114,0.886,-0.4724
"Parce he cambiado tanto que me emputa que me digan; ay pero si antes hacías eso, antes hacías lo otro 😤 chupenlo",4.0,Spanish,22,1,0.0,0.0,1.0,0.0
"Tengo depresión post concierto, déjenme sola",2.0,Spanish,6,1,0.0,0.0,1.0,0.0
"Mi Mafercita me dijo que soy pura luz y con ese comentario me hizo muy, pero muy feliz 🥺✨",3.6,Spanish,19,1,0.0,0.0,1.0,0.0
Gobierno trás Gobierno y seguimos en las mismas. #YoVotoPetroPresidente ,1.2,Spanish,9,1,0.0,0.0,1.0,0.0
Para qué hijueputas,2.0,Spanish,3,1,0.0,0.0,1.0,0.0
Quizá llevabas razón.,2.2,Spanish,3,1,0.0,0.0,1.0,0.0
 te voy a seguir 🤝,1.2,Spanish,5,1,0.0,0.0,1.0,0.0
 Ahora si a lo que mejor sabe hacer: Business in the USA,1.0,Spanish,12,1,0.0,0.0,1.0,0.0
hey el día esta bien caliente cómo yo 😈🙈💴 ,4.4,Spanish,9,1,0.0,0.0,1.0,0.0
"""La vida es puta como en un guión escrito por los Coen, asuntos turbios como en el golfo de Yemen, oculto y sofisticado como un haiku""",2.2,Spanish,26,1,0.0,0.0,1.0,0.0
Lo único que me gusta de venir a SLP es cuando me voy,3.6,Spanish,13,1,0.0,0.0,1.0,0.0
hazte caso cuando algo no te vibra.,1.6,Spanish,7,2,0.0,0.268,0.732,-0.296
 Para que se sacan el barbijo,1.6,Spanish,6,1,0.0,0.0,1.0,0.0
 Solo quiero ser feliz por un breve instante,3.4,Spanish,8,1,0.0,0.0,1.0,0.0
 Felicidades. Nobleza italiana en las pampas.,1.6,Spanish,6,1,0.0,0.0,1.0,0.0
0 dignidad.,2.8,Spanish,2,1,0.0,0.0,1.0,0.0
"  Listo, RT y Fav, y ahora qué? Dónde los consigo?",1.8,Spanish,10,0,0.324,0.0,0.676,0.5204
 A quién no les gusta ese tipo de almohadas? Hasta relleno extra tienen 🥰,3.25,Spanish,14,2,0.0,0.167,0.833,-0.296
 Voy,2.2,Spanish,1,1,0.0,0.0,1.0,0.0
 ups le faltó uno😛,1.4,Spanish,4,1,0.0,0.0,1.0,0.0
" Cederá lo que le mande el ""Emperador"". Lee las declaraciones de M. Otero Novas.",1.0,Spanish,14,1,0.0,0.0,1.0,0.0
  Yo esperaba como aczino pero me lesioné la rodilla 🥲🔪,1.2,Spanish,10,1,0.0,0.0,1.0,0.0
"mis compañeros tienen tw, q miedo",2.4,Spanish,6,1,0.0,0.0,1.0,0.0
 Y menos si las llevas tu! 🔥🔥🔥,3.25,Spanish,7,1,0.0,0.0,1.0,0.0
"/ una preguntita, ",1.25,Spanish,3,1,0.0,0.0,1.0,0.0
dámelo a mi 😁-🦭,2.75,Spanish,4,1,0.0,0.0,1.0,0.0
Los nuevos socios de Petro del partido liberal. Que incoherencia y populismo. Miren la joya ,1.2,Spanish,15,1,0.0,0.0,1.0,0.0
"Me gusto como salieron mis pechos, espero a ti igual :3 🤍 ",4.8,Spanish,12,0,0.268,0.0,0.732,0.5106
 Me desespera ver que soy el único preocupado por eso en el mundo. No hay nada en todo internet.,1.8,Spanish,19,2,0.0,0.109,0.891,-0.296
¿Cómo escribes personajes mujeres siendo hombre?  autor de CÓMICS MEXICANOS responde. ,1.6,Spanish,11,1,0.0,0.0,1.0,0.0
  Hasta que te funcionó el cerebro ...,2.0,Spanish,7,1,0.0,0.0,1.0,0.0
" Poco y nada, heredé todo de mi abuela paterna. Soy una versión más joven de ella. Salí ganando en todos los rubros 🤣😂🤣",3.4,Spanish,23,1,0.0,0.0,1.0,0.0
🍁 Verdadero o Falso❓ ➽ Todas las termitas del mundo juntas pesan 10 veces mas que todos los humanos juntos. 🐜⚖️👬,1.0,Spanish,21,1,0.0,0.0,1.0,0.0
 No tengo su número,2.6,Spanish,4,2,0.0,0.423,0.577,-0.296
 En DM me hice las 40 kills corriendo con Vandal. Sigue estando igual,1.0,Spanish,13,2,0.0,0.226,0.774,-0.5423
 las dos,1.0,Spanish,2,1,0.0,0.0,1.0,0.0
 Este señor va a hacer el Versus XIII sí o sí.,1.2,Spanish,11,1,0.0,0.0,1.0,0.0
q vergüenza como m trataban y yo quería seguir ahí,3.8,Spanish,10,1,0.0,0.0,1.0,0.0
Cuando le escribo al tóxico y me deja en leído: ,2.5,Spanish,10,1,0.0,0.0,1.0,0.0
" Jajaja más pendejos estos chilenos, aplaudiendo semejante estupidez",2.6,Spanish,8,1,0.0,0.0,1.0,0.0
q paja sobrepensar esto,3.0,Spanish,4,1,0.0,0.0,1.0,0.0
 Hola,1.8,Spanish,1,1,0.0,0.0,1.0,0.0
Amo como ama el amor. No conozco otra razón para amar que amarte. ¿Qué quieres que te diga además de que te amo? Fernando Pessoa,3.0,Spanish,25,0,0.137,0.075,0.788,0.4215
el romance no es mi área,2.8,Spanish,6,0,0.367,0.224,0.408,0.34
 Que vuelva el feminismo radical,1.4,Spanish,5,1,0.0,0.0,1.0,0.0
[4/1 21:27] : tenés que pensar en vos [4/1 21:27] : no está mal ser egoísta algunas veces,2.6,Spanish,18,2,0.0,0.128,0.872,-0.296
Olv se puso intenso los oscars,1.2,Spanish,6,1,0.0,0.0,1.0,0.0
 No la finalidad es crear el caos.,1.8,Spanish,7,2,0.0,0.268,0.732,-0.296
 Creo que sí estamos hablando de lo mismo jajaa,2.0,Spanish,9,1,0.0,0.0,1.0,0.0
Tengo miedo pero... FONZI TIENE AGUANTE!!! #MasterChefArgentina,1.8,Spanish,7,1,0.0,0.0,1.0,0.0
 ¿me etiquetas porfa?,2.8,Spanish,3,1,0.0,0.0,1.0,0.0
Por fin es hoy!!!,1.6,Spanish,4,1,0.0,0.0,1.0,0.0
  Por esa zona está Dominga? Es una señal de la madre tierra🙏,1.6,Spanish,12,1,0.0,0.0,1.0,0.0
"Pol de 5, conducción. Es por ahí.",1.0,Spanish,7,1,0.0,0.0,1.0,0.0
Buenas  propongo y quiero escuchar Levantaremos al Sol de Álvaro de Luna en las #FavoritasLacyberadio #YoEscuchoLacyberadio 63,1.0,Spanish,17,1,0.0,0.0,1.0,0.0
" De lo mejorcito que hay, con crema de Orujo también funciona",1.6,Spanish,11,1,0.0,0.0,1.0,0.0
 Pregunto****,1.0,Spanish,1,1,0.0,0.0,1.0,0.0
Después de un año volví a trabajar de noche en el bar! Nunca más jajajajaja me liquidaron,3.6,Spanish,17,1,0.0,0.0,1.0,0.0
"no era lo mejor para los dos, era lo mejor para mi",3.2,Spanish,12,2,0.0,0.167,0.833,-0.296
Aveces las personas ven el error en los demás pero no en ellos mismos 🙃,2.25,Spanish,15,2,0.0,0.29,0.71,-0.5994
" Con torrijas de mi madre, en realidad.",1.4,Spanish,7,1,0.0,0.0,1.0,0.0
Bueno a buscar un anime para la cuaresma.,2.0,Spanish,8,1,0.0,0.0,1.0,0.0
 Es buenísimo 😂😂😂😂,2.0,Spanish,3,1,0.0,0.0,1.0,0.0
" El Pekka, pero sin dudarlo.",1.5,Spanish,5,2,0.0,0.474,0.526,-0.5574
 Que pendeja persona. ¿Y donde preferirías vivi?? En un lugar en cuba o en EU. Es para una tarea.,1.8,Spanish,19,1,0.0,0.0,1.0,0.0
"ya me voy a mimir,ojalá no despierte 😭",4.25,Spanish,8,2,0.0,0.306,0.694,-0.296
extraño mucho a mis amigos,3.8,Spanish,5,1,0.0,0.0,1.0,0.0
 Muy buenas fotos 🥰🥰🥰,2.6,Spanish,4,1,0.0,0.0,1.0,0.0
"  Muy lejos de los 30 millones de 2018, dentro de los 15 millones que ya no votaron, estoy yo",1.0,Spanish,19,2,0.0,0.109,0.891,-0.296
vivimos esperando que reaccione primero el otro,2.0,Spanish,7,1,0.0,0.0,1.0,0.0
 Me dejó verlo,2.25,Spanish,3,1,0.0,0.0,1.0,0.0
 Madre bajón en el centro de Caracas!!!,2.0,Spanish,7,1,0.0,0.0,1.0,0.0
"Pa mi hay que hacer la cuarentena en la casa del que tenga piscina, el whisky lo llevo no hay drama",2.0,Spanish,21,2,0.0,0.099,0.901,-0.296
