,id,VAD,source,text,emotions,split,emotion_model,domain,labeled,annotation_procedure
3870,3870,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Yes , I can . To tell you the truth , I ’ m the best nearby .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
71903,71903,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,did you know that abortion is still illegal in many states in the USA ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
55433,55433,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Hi , Kenji .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
113300,113300,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,Really disappointed I can't make it to bloomington for @sproutbox launch party tonight  if you're around you should check it out,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
28639,28639,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Are you on the up and up ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
15484,15484,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"He ’ s going to be sent to Britain to study , really ?","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
113861,113861,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,Ughh. That Miley creature song has infested itself in my brain!,"{'joy': 0, 'anger': 1, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
93878,93878,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Thank you very much . I ’ ll be there on time .,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
86302,86302,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,But you didn ’ t tell me in the interview .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
63058,63058,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I don't know whether or not to believe him .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
106591,106591,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,"@YEPNAYDEA I don't have ur #...anymore, I think!!","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
131795,131795,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,Hell of a lot to do. But they say you shouldn't complain theese days. Who are &quot;they&quot; and can &quot;they&quot; help me in that case,"{'joy': 0, 'anger': 0, 'sadness': 1, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
41344,41344,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,No . Can I have my money back ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
145619,145619,"{'valence': None, 'arousal': None, 'dominance': None}",electoraltweets,I don't like when people think their only options are Obama or Romney. Those aren't the only two running for president.,"{'joy': 0, 'anger': 1, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': 0, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': 0, 'anticipation': 0, 'shame': None, 'guilt': None}",,Ekman+ET,tweets,single,
76817,76817,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Have a nice evening .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
16172,16172,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,What do they mean ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
92077,92077,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Could we have the honor of you presence of the meeting ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
22727,22727,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Here we are , Ryan ! This is where we're going to celebrate !","{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
75480,75480,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Fall is the best season in Beijing . It's neither hot nor cold . The sky is clear and blue . There's hardly any wind , only a slight breeze which is hardly noticeable . And we have plenty of sunshine too .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
62967,62967,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,When ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
126788,126788,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,"anyone drive a newish diesel car? any advice on pros cons? not interested in old diesel cars, need recent model experience, eg SUV","{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
65153,65153,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,What's the extension number for my phone ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
82970,82970,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Now you can go to the in-patient department to go through the admission procedures .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
29332,29332,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,That's basically it .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
108706,108706,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@joehhzeh in august with anberlin. they're not headlining though  and yes there is a perth show,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
7982,7982,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,What flavor would you like ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
8760,8760,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,My mother can make some Chinese food .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
84161,84161,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Why ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
27466,27466,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"If I were you , I would take a few days to take care of those things before you move in .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
117385,117385,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@SherriEShepherd Wish you were doing one in San Francisco!,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
18039,18039,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Oh , how nice ! there are bright rooms and the house is very quiet .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
84060,84060,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,What do you use to check for high blood pressure ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
40498,40498,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,So you didn ’ t . Is that right ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
23777,23777,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Um ... well , where's the men's shoe department ?","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
137929,137929,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,"@JoWork oh, she gon com back again.........AND YO' AZZ BETTA MAKE A VID ABOUT YO' PROM BOY","{'joy': 0, 'anger': 0, 'sadness': 1, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
36497,36497,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I am a daytime student .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
98876,98876,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,That ’ s right . Make sure you give the accounts department all your bank account details as soon as possible .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
29045,29045,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I would love large curly fries .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
99690,99690,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,It is to your advantage to work as much as you can .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
13457,13457,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"No , thanks .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
117131,117131,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,disappointed she didn't win teh glassez.,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
12888,12888,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Four stamps , please . How much is that ?","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
7681,7681,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,That's great ! What comes along with Moutan ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
96089,96089,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Our toner cartridges are already out of ink ... Could you make an order for a new set ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
134878,134878,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@saharabloom Don't we all!,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
107453,107453,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,I can't go to sleep until tech support emails me back,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
106940,106940,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,The fam back on the Big Island said the vog has been so bad that they can't see the ocean. Sad!,"{'joy': 0, 'anger': 0, 'sadness': 1, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
9245,9245,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Not at all .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
106588,106588,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,"@portugaltheman @liftingfaces Where'd the songs go on the site, I want &quot;Do You&quot; on this computer too","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
93152,93152,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,So will you back me up if things get ugly with Elvin ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
95124,95124,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Yes . I ’ Ve sent letters to several banks . A few have invited me for interviews after we take our examinations .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
95233,95233,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"It should apply to all communications , not only in this office between employees , but also any outside communications .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
1272,1272,"{'valence': None, 'arousal': None, 'dominance': None}",grounded_emotions,"I'm at a point where I can be kind of zen about it, but it's been going on since middle school &amp; maybe it's just forever me.","{'joy': 0, 'anger': None, 'sadness': 1, 'disgust': None, 'fear': None, 'trust': None, 'surprise': None, 'love': None, 'noemo': None, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,HappySad,tweets,single,
40276,40276,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"May I know the reason , madam ?","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
42071,42071,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Well , you can bet this relationship's going to be a flash in the pan .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
23008,23008,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Yes , sure . Which cupboard is it in ?","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
54804,54804,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,So do I . The sun ... the sand ... the ocean !,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
15068,15068,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Yes.Here they are . I ’ Ve marked how many prints I want on each shot .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
68207,68207,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Really ? You don ’ t look very Chinese to me , if you don ’ t mind me saying so .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 1, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
2315,2315,"{'valence': None, 'arousal': None, 'dominance': None}",grounded_emotions,"Keep Austin Gay, oh, Austin #atx, how I love you. #xoxo #gay #instagay #bakery #morning @… https://t.co/aC79AgL8Y3","{'joy': 0, 'anger': None, 'sadness': 1, 'disgust': None, 'fear': None, 'trust': None, 'surprise': None, 'love': None, 'noemo': None, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,HappySad,tweets,single,
52731,52731,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Yes .,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
119270,119270,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,my baby man is 4 years old a week today  he's growing up too fast.....,"{'joy': 0, 'anger': 0, 'sadness': 1, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
24894,24894,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"No , Nothing will be kind .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
136626,136626,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,Margaritas with my Momo. I've missed her.,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
11739,11739,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Ok . Should I heat the wok ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
59836,59836,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Are you a member of his fan club ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
97532,97532,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"No , thank you . I just had two cups of coffee at my desk .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
93998,93998,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Please pay close attention to the safety of the shipment .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
37030,37030,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,do you know where the visa office is ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
42118,42118,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Now listen , Ben . Look , I think it ’ s a very good thing that a young man — after he ’ s done some very good work — should have a chance to relax and enjoy himself , and lie around , and drink beer and so on . But after a few weeks I believe that person should want to take some stock in himself and his situation and start to think about getting off his ass .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
5799,5799,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,That was delicious .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
77303,77303,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,You are allowed an additional two carry-on items .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
13561,13561,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Really ? Do you often shop online ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
146054,146054,"{'valence': None, 'arousal': None, 'dominance': None}",electoraltweets,Can it just be November already so we can get rid of these ads and convention coverage? #election2012,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 1, 'fear': 0, 'trust': 0, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': 0, 'anticipation': 0, 'shame': None, 'guilt': None}",,Ekman+ET,tweets,single,
117720,117720,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@TeamDeLo that one has been done already,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
99914,99914,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Will I get notification that I qualify for unemployment ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
